cell_id,step_ix,simulation_i,sim_time,,
cell582,3183,6,478.0833333,,
cell583,4717,9,102.0833333,,
cell584,5301,10,122.0833333,,
cell585,492,1,836,,
cell586,4841,9,350.0833333,,
cell587,1850,4,108.0833333,,
cell588,4903,9,474.0833333,,
cell589,5617,10,754,,
cell590,3554,7,72,,
cell591,3675,7,314.0833333,,
cell592,4146,8,108.0833333,,
cell593,2092,4,592.0833333,,
cell594,3357,6,826,,
cell595,3525,7,14,,
cell596,2039,4,486.0833333,,
cell597,741,2,186,,
cell598,4211,8,238,,
cell599,3550,7,64,,
cell600,5256,10,32.08333333,,
cell601,5276,10,72,,
cell602,674,2,52,,
cell603,2538,5,336.0833333,,
cell604,1585,3,726,,
cell605,719,2,142.0833333,,
cell606,5340,10,200,,
cell607,922,2,548.0833333,,
cell608,901,2,506.0833333,,
cell609,1335,3,226,,
cell610,1622,3,800,,
cell611,3567,7,98.08333333,,
cell612,2463,5,186,,
cell613,4121,8,58,,
cell614,1609,3,774,,
cell615,4359,8,534.0833333,,
cell616,896,2,496.0833333,,
cell617,677,2,58,,
cell618,708,2,120.0833333,,
cell619,701,2,106.0833333,,
cell620,1465,3,486.0833333,,
cell621,649,2,2.083333333,,
cell622,185,1,222,,
cell623,1242,3,40,,
cell624,2960,6,32.08333333,,
cell625,1805,4,18,,
cell626,2526,5,312.0833333,,
cell627,3001,6,114.0833333,,
cell628,3390,6,892,,
cell629,1600,3,756,,
cell630,2468,5,196,,
cell631,4326,8,468.0833333,,
cell632,5255,10,30.08333333,,
cell633,5247,10,14,,
cell634,856,2,416.0833333,,
cell635,221,1,294,,
cell636,2186,4,780,,
cell637,2637,5,534.0833333,,
cell638,1823,4,54,,
cell639,1269,3,94.08333333,,
cell640,3715,7,394.0833333,,
cell641,1393,3,342.0833333,,
cell642,5430,10,380.0833333,,
cell643,2402,5,64,,
cell644,5379,10,278,,
cell645,4748,9,164,,
cell646,4717,9,102.0833333,,
cell647,357,1,566.0833333,,
cell648,2562,5,384.0833333,,
cell649,905,2,514.0833333,,
cell650,829,2,362.0833333,,
cell651,3151,6,414.0833333,,
cell652,3535,7,34.08333333,,
cell653,4196,8,208,,
cell654,1470,3,496.0833333,,
cell655,4253,8,322.0833333,,
cell656,4738,9,144.0833333,,
cell657,2965,6,42,,
cell658,1068,2,840,,
cell659,1286,3,128.0833333,,
cell660,4835,9,338.0833333,,
cell661,1281,3,118.0833333,,
cell662,128,1,108.0833333,,
cell663,1113,2,930,,
cell664,791,2,286,,
cell665,680,2,64,,
cell666,5077,9,822,,
cell667,1015,2,734,,
cell668,113,1,78.08333333,,
cell669,2681,5,622,,
cell670,702,2,108.0833333,,
cell671,4147,8,110.0833333,,
cell672,4549,8,914,,
cell673,3042,6,196,,
cell674,957,2,618,,
cell675,389,1,630,,
cell676,4924,9,516.0833333,,
cell677,694,2,92.08333333,,
cell678,2561,5,382.0833333,,
cell679,3118,6,348.0833333,,
cell680,4116,8,48,,
cell681,695,2,94.08333333,,
cell682,232,1,316.0833333,,
cell683,1858,4,124.0833333,,
cell684,1885,4,178,,
cell685,4825,9,318.0833333,,
cell686,2988,6,88.08333333,,
cell687,4412,8,640,,
cell688,2444,5,148.0833333,,
cell689,5602,10,724,,
cell690,1970,4,348.0833333,,
cell691,3956,7,876,,
cell692,3524,7,12,,
cell693,4671,9,10,,
cell694,1053,2,810,,
cell695,1086,2,876,,
cell696,567,1,986,,
cell697,4712,9,92.08333333,,
cell698,3702,7,368.0833333,,
cell699,3975,7,914,,
cell700,3580,7,124.0833333,,
cell701,4141,8,98.08333333,,
cell702,3979,7,922,,
cell703,4189,8,194,,
cell704,870,2,444.0833333,,
cell705,5270,10,60,,
cell706,1262,3,80.08333333,,
cell707,3574,7,112.0833333,,
cell708,336,1,524.0833333,,
cell709,464,1,780,,
cell710,4503,8,822,,
cell711,1594,3,744,,
cell712,1373,3,302,,
cell713,4720,9,108.0833333,,
cell714,2598,5,456.0833333,,
cell715,3113,6,338.0833333,,
cell716,4955,9,578.0833333,,
cell717,984,2,672,,
cell718,3917,7,798,,
cell719,1283,3,122.0833333,,
cell720,730,2,164,,
cell721,2010,4,428.0833333,,
cell722,5375,10,270,,
cell723,1613,3,782,,
cell724,778,2,260,,
cell725,3963,7,890,,
cell726,1090,2,884,,
cell727,4204,8,224,,
cell728,1303,3,162,,
cell729,3648,7,260,,
cell730,990,2,684,,
cell731,4252,8,320.0833333,,
cell732,681,2,66,,
cell733,4836,9,340.0833333,,
cell734,1805,4,18,,
cell735,2449,5,158,,
cell736,3985,7,934,,
cell737,4432,8,680,,
cell738,2994,6,100.0833333,,
cell739,838,2,380.0833333,,
cell740,3581,7,126.0833333,,
cell741,3667,7,298,,
cell742,2980,6,72,,
cell743,3527,7,18,,
cell744,4014,7,992,,
cell745,300,1,452.0833333,,
cell746,347,1,546.0833333,,
cell747,394,1,640,,
cell748,4223,8,262,,
cell749,745,2,194,,
cell750,430,1,712,,
cell751,778,2,260,,
cell752,762,2,228,,
cell753,2071,4,550.0833333,,
cell754,3533,7,30.08333333,,
cell755,4465,8,746,,
cell756,3636,7,236,,
cell757,4881,9,430.0833333,,
cell758,2015,4,438.0833333,,
cell759,4220,8,256,,
cell760,303,1,458.0833333,,
cell761,2651,5,562.0833333,,
cell762,1712,3,980,,
cell763,1954,4,316.0833333,,
cell764,2997,6,106.0833333,,
cell765,1818,4,44,,
cell766,2544,5,348.0833333,,
cell767,3207,6,526.0833333,,
cell768,5134,9,936,,
cell769,4241,8,298,,
cell770,2075,4,558.0833333,,
cell771,2869,5,998,,
cell772,214,1,280,,
cell773,1833,4,74,,
cell774,1640,3,836,,
cell775,850,2,404.0833333,,
cell776,1620,3,796,,
cell777,2375,5,10,,
cell778,4914,9,496.0833333,,
cell779,2995,6,102.0833333,,
cell780,698,2,100.0833333,,
cell781,890,2,484.0833333,,
cell782,4854,9,376.0833333,,
cell783,2426,5,112.0833333,,
cell784,4176,8,168,,
cell785,3576,7,116.0833333,,
cell786,2292,4,992,,
cell787,5312,10,144.0833333,,
cell788,4213,8,242,,
cell789,447,1,746,,
cell790,1473,3,502.0833333,,
cell791,3317,6,746,,
cell792,1299,3,154,,
cell793,4226,8,268,,
cell794,2635,5,530.0833333,,
cell795,1961,4,330.0833333,,
cell796,3002,6,116.0833333,,
cell797,683,2,70,,
cell798,4130,8,76,,
cell799,4739,9,146.0833333,,
cell800,3067,6,246,,
cell801,717,2,138.0833333,,
cell802,4324,8,464.0833333,,
cell803,753,2,210,,
cell804,5359,10,238,,
cell805,5247,10,14,,
cell806,4443,8,702,,
cell807,2528,5,316.0833333,,
cell808,952,2,608.0833333,,
cell809,1862,4,132.0833333,,
cell810,4357,8,530.0833333,,
cell811,809,2,322.0833333,,
cell812,4812,9,292,,
cell813,5264,10,48,,
cell814,4206,8,228,,
cell815,3857,7,678,,
cell816,1110,2,924,,
cell817,5275,10,70,,
cell818,126,1,104.0833333,,
cell819,5039,9,746,,
cell820,4900,9,468.0833333,,
cell821,4291,8,398.0833333,,
cell822,127,1,106.0833333,,
cell823,4177,8,170,,
cell824,4675,9,18,,
